id	keyword	distribution	width	height	frames	durationMs	bytes	sha256
hello-dumpling-wave	你好	bundled	240	240	16	1600	171424	68a69bd02ee1a3aa359fe1d2ee7b1db2f64c33e9ded39e2849a9f3477fe12d4f
hello-otter-peek	你好	bundled	240	240	16	1600	204177	9343937ad4658b6fd1ece9835a4a2da0ad61aafc8495c3ce6716f12b0f47a7d5
hello-neighbor-door	你好	bundled	240	240	16	1600	199723	86cd58cb5d335b44ce65301131441d50c7b26842a35cca547629ab32ae5582b3
hello-orbit-spark	你好	bundled	240	240	16	1600	235131	080a74166c2befb6df9492d7ce5ce6cea9dd346ba1544910a752c71170ba382e
hello-plush-rabbit	你好	remote	240	240	16	1600	176588	436a5ad8e1ec8a0681d0ecc1bca1c3f2a1ec196e7ad1d24be2991cfc649f06b9
hello-ink-sparrow	你好	remote	240	240	16	1600	191698	59e3e1044a0032b4b0c612ca2cde5a4de7dea93d7abc9c7a9e2d57ad5c01e877
hello-person-greet	你好	remote	240	240	16	1600	187102	cc8254fcc9244e715911733d57f4d2ef14adf5a9141a7c9370cf9ecac70bd960
hello-mailbox-pop	你好	remote	240	240	16	1600	153307	ae2bbb28e0fc7f993fa999a44388900a1c9f477e17231f410e49b94711184079
morning-dumpling-stretch	早安	bundled	240	240	16	1600	163641	8f07cb8e7b9ed62f4ac3cdf2b628cbdbd77b252a42c460743f2b78029002e073
morning-corgi-sun	早安	bundled	240	240	16	1600	154503	027e3e8f1257a7e923b94113ba281415c9f98866df50f0ee4a6929b419ef920d
morning-coffee-worker	早安	bundled	240	240	16	1600	191448	ff980dc912b5ed275e14e531c1e3a08330ed2b5fa8a9e281fa1612e41a090b49
morning-sun-unfold	早安	bundled	240	240	16	1600	214121	9d7b317884f4d089a6effefd6816fd1a7872c0b19cff5149f11810aefc5cdb55
morning-clay-chick	早安	remote	240	240	16	1600	141177	062e5a74ddc407e3c4d1e9c5d8b6ab6392375f78e9d91498efe593fce76f48c0
morning-sketch-rooster	早安	remote	240	240	16	1600	155117	39ad9f2ebb35e44430419935eede173aef2f31279bb4c559ad8822b129acf315
morning-person-curtain	早安	remote	240	240	16	1600	177779	900164b2b04a96bf388baa4ba0d17c5a0e9b539bde80584e78dd1818c1782b72
morning-alarm-dance	早安	remote	240	240	16	1600	153511	571d712f61ea78c37a633a628da7bd3a7fb1efd739d7ec4a8269d9917ac5bd00
night-dumpling-sleep	晚安	bundled	240	240	16	1600	174453	fecbd4cffb47b4761ea5ca6d6dc2105e0a9195b7eb725f07124dbcaea12b7e3b
night-cat-curl	晚安	bundled	240	240	16	1600	183977	ea55189ca325dd5c7100c6725138433bf1195b2c254ebff26c9eba5ca02cac03
night-bedtime-reader	晚安	bundled	240	240	16	1600	201539	d31797aa69dbbee6af9ba6479f0364fd8b627431d2e85c198e1444c52a62b08f
night-moon-cloud	晚安	bundled	240	240	16	1600	248475	366bdb369f5d61c1418257be3f52f254a04c5fbd48a3965ce74ad30239913adb
night-plush-bear	晚安	remote	240	240	16	1600	162985	3115b5defe841b3febc43fa3b1d9da6ced9bc9f9d402e440224e0bfd9cf96577
night-ink-owl	晚安	remote	240	240	16	1600	178573	c517b6ba3932c2d68d7e22960ed28986e976af68ca8829ab63b51f1cdd908599
night-person-goodnight	晚安	remote	240	240	16	1600	167855	86f4264ed05cc468e25b452a8a933950dbad12dcdb2e7604ce98e6cd5e7d4268
night-battery-rest	晚安	remote	240	240	16	1600	165318	94b4e166ee7d3369e6a2a5ff99396d895fb0cb1fdf336dc0b14182bd9072701f
okay-dumpling-nod	好的	bundled	240	240	16	1600	182267	ea576b5f0e305236cd206efde98ca2b95709b047e6b39bc347d8c6d362d9984a
okay-penguin-salute	好的	bundled	240	240	16	1600	173242	8b2e81d64ea6f8a15a3a29adae80495c98b7b876aa652bd7e3b57edd5eccc934
okay-courier-check	好的	bundled	240	240	16	1600	202944	00aa525a0e35a4107ed489c97ec0ea32c038b8b42e18b16e866abb62df4af7e8
okay-check-bloom	好的	bundled	240	240	16	1600	174880	900796c0054eed84bcec5683b576bedaf42894ac7241d3ecf2d3d2081a3e80ad
okay-clay-seal	好的	remote	240	240	16	1600	188396	ada5e1805c76a0d0e4454e22bc5f839b9b06dbc9e3fee0f3ace86df7d05c0f2d
okay-ink-worker	好的	remote	240	240	16	1600	150163	78bd787cc9840d2351c84f988d3bb5973477374bdde63e8736bf378e0e3f9393
okay-person-thumbs	好的	remote	240	240	16	1600	164779	0c2a1b60bccc5534c4ef558cef7ec741fe9eabfdecf3a9ab858c273f2031acab
okay-octopus-task	好的	remote	240	240	16	1600	173980	d46429eaa6d95197578a2d196c6c910bb71a7ff948028cc42cee315fb443c3e7
sorry-dumpling-apology	对不起	bundled	240	240	16	1600	173674	f06aab3d7cd4de0c113a17e148ccf667d4a8c60a4431f3af588d22c7c7f50fe9
sorry-hedgehog-sorry	对不起	bundled	240	240	16	1600	220881	8984c46c5d5ca414f91beeb61e6c1ca3c7309416bfa4fef8b356419702c32f73
sorry-neighbor-spill	对不起	bundled	240	240	16	1600	191550	b3c6393216519628071e375c0d6dc3cb990206606bf3b24d361299b40e9ce83c
sorry-heart-mend	对不起	bundled	240	240	16	1600	176138	43a246623aa18283c549119c44e24c544a0348183f7f51237a92dcca6e4e6ce4
sorry-plush-elephant	对不起	remote	240	240	16	1600	179290	b8e0ba230db208c7e4feea09696f46f36cb62ccbc10f6682c8646b7398877dcb
sorry-ink-pigeon	对不起	remote	240	240	16	1600	159079	3357eea56780a859d8815834ba08bbf959c8292d9ca78eff9f0b41414c42b915
sorry-person-apology	对不起	remote	240	240	16	1600	148414	a618a2d883e37c8ccc5ed6ff45ccb29397c22aa95a4b5cea8463bd0568613a1a
sorry-flowerpot-oops	对不起	remote	240	240	16	1600	145339	8310c0efc0c02571256a4e6621afc70c2d7faa45eff2e04bb6b5984cca64bb50
