id	keyword	distribution	width	height	frames	duration_ms	bytes	sha256
haha-dumpling-giggle	哈哈	bundled	240	240	16	1600	181812	d0962213b5d8987c666d18e6508877211db135f17d9eb661187b53d3a58ace58
haha-redpanda-laugh	哈哈	bundled	240	240	16	1600	196379	19e73c1f1d8af96709971294db78d5a04277f4a3a5f50fcbc662293584551b40
haha-office-friend	哈哈	bundled	240	240	16	1600	210655	82369ad5945cb17da8ada6397a3aad63e5a16767571374207386e558b3db24d5
haha-bubble-burst	哈哈	bundled	240	240	16	1600	214929	85aff78a898e0d5977e6bd83fb3236a59d9367b5765f81cc3d77c2e38a140aac
haha-plush-llama	哈哈	remote	240	240	16	1600	145272	3f1c6e26d5b9583e719ae9fd42e3ff1b706ef4c8429f46d2a65d4dd3aac3b899
haha-ink-frog	哈哈	remote	240	240	16	1600	173634	b0019cab94235ab6c02fd3802b466bfc1294b8e66cc75a9803d9081ab0fd3285
haha-person-laugh	哈哈	remote	240	240	16	1600	184574	6457195fc1c9b8125907dbad96d4d801f3d4315a326c446ae1b5639524330dbe
haha-toaster-pop	哈哈	remote	240	240	16	1600	157867	e6919199bd68fd3e2bdb813b45a04c307c23c4238501067b79a201a03f92c0a7
cheer-dumpling-pump	加油	bundled	240	240	16	1600	198489	35b999bb3f36f596c843e0ff881e565cfe9cf2d1444267be53b14b307ee9e7d5
cheer-shiba-paws	加油	bundled	240	240	16	1600	166083	303500d851ca6a3cea18485fd4aab267a6f9eccbc9dcf8f12852908f40a1636a
cheer-runner-friend	加油	bundled	240	240	16	1600	228570	039a3b9d719d806e76ce6b65f0ad11d20b0ef317b54f60e849e0394c6edd8879
cheer-arrow-rise	加油	bundled	240	240	16	1600	173276	7169266169d35fa73ac25ec128be37bb5b4718d8b9d4137050ed69011801fc4f
cheer-clay-tiger	加油	remote	240	240	16	1600	192212	654e81c8f28e03dadd5de3c2ac39f2fa7d534228720e316d99fea2d8be4c1fef
cheer-ink-bird	加油	remote	240	240	16	1600	166226	389e1a92c0bffd41621ea95161f9ee3d0304a337e1c8c959e6878005c9f54b66
cheer-person-support	加油	remote	240	240	16	1600	180457	735b52bc1242070caf5d3bf812181645af956729e0e1eec1177dca61b435f2d3
cheer-pencil-rocket	加油	remote	240	240	16	1600	163998	8a005645e5e8bc67a2e084859cab55ea2c7f48fb966dc5fc19f60c9fe5e49ecb
roger-dumpling-salute	收到	bundled	240	240	16	1600	175414	9a5f2d165be6a5cfc7df3b1f996c0f0cb65aef4607f9620a46d806901153c39c
roger-meerkat-alert	收到	bundled	240	240	16	1600	146514	01eae09212dcb987452b09c2eecd986b3128cf6013d134f0dda86b0b5cb6bd78
roger-workshop-maker	收到	bundled	240	240	16	1600	199377	d41942d8f19316efdfb7f01526a4a24d5b73fb5ba658ece07d05d9f53b9db7df
roger-envelope-click	收到	bundled	240	240	16	1600	206364	159f771dd9b63c2a6ce939e6b55de0159f82543dd0fbf1b8ae70b0c57d3dd094
roger-plush-raccoon	收到	remote	240	240	16	1600	171260	68941c3a12891088edbdd62330f08398fc6d4271666cf2c3ce9fe9b8ccfb1d22
roger-ink-ant	收到	remote	240	240	16	1600	138142	577ce522a2af85639f8d6d3dcc4a2015e826b3457360ac58f800f4e16402beed
roger-person-nod	收到	remote	240	240	16	1600	169112	76f54b3caed017d9fc1e34268addd2a66ad188c7841088bbef86943d7d93b2e9
roger-radar-bot	收到	remote	240	240	16	1600	146316	5751af234f42d13ea7b073b24eaa0df5ccc8fcdcd7b83f249e09ed313d79fb98
allow-dumpling-yes	可以	bundled	240	240	16	1600	175099	312f9fce908b0ff64c4ff123b3764ce7b1e4e1612122af10db6f3e84c147c54c
allow-quokka-smile	可以	bundled	240	240	16	1600	152403	24bc42482d2827ccfdbed0ce13784e784eec4e7987575f1cf6771ffc228b2bd9
allow-cafe-friend	可以	bundled	240	240	16	1600	178921	a155a758cbd9c647019a30596dd4ac6a9efba36b9896ceffa6a51f786400888a
allow-green-gate	可以	bundled	240	240	16	1600	130672	96d89924e6b19bfaeca17f032fb499274de9328de69de2df8695c080fde6e475
allow-clay-capybara	可以	remote	240	240	16	1600	170600	5ed6328ddc1fbde49ab787d1a5392336a9cee1a034b4b9b012022b9eaaa5d30c
allow-ink-crab	可以	remote	240	240	16	1600	204432	45641410f6fb9296d413e0e3c0d165eb2bab49cb7bd529b577e2a645d79735e8
allow-person-yes	可以	remote	240	240	16	1600	163527	b862b0767bd0f1057897cd5d099a85f4c41779d33a502ce9ff6a264f3f7b14a4
allow-traffic-go	可以	remote	240	240	16	1600	142614	fbe399dbe9820963940eea705188db004da64aa36107531bb616d7e7a4a57b3a
bye-dumpling-wave	再见	bundled	240	240	16	1600	166627	75ebebadce224a2d26f5353d1ebfdec4b8ca4ee872a86b21d8260e16728c0481
bye-puffin-wave	再见	bundled	240	240	16	1600	165660	1db8e385091ef2f28496c3c1d45883cd99a115449d7298bba5240d3ed1eedfdc
bye-traveler-friend	再见	bundled	240	240	16	1600	181114	12e079d94049838c816e84c04922882a9fdcf46fed638b84564fca493271a2b2
bye-paperplane-away	再见	bundled	240	240	16	1600	137018	d694ac587df4b3f9b58629dc7a85e1cdb7d64ead6c001fa27eb3bb420166c0b1
bye-plush-fox	再见	remote	240	240	16	1600	165011	a3ccfd600114ca078108f57761f537a9b69606533d372d9df92e4189469106b9
bye-ink-snail	再见	remote	240	240	16	1600	167869	9d07d995ee045b55a0c3032b65d92273f531e6c89efdab1d0dc8482adbb6521d
bye-person-wave	再见	remote	240	240	16	1600	172360	06b49a2b80458d7911f5adfd89f4d38924071682fc951b4a7e7ddc3afbf56764
bye-suitcase-hop	再见	remote	240	240	16	1600	156655	115c1edcee4cdbcbdd3a56a4c45f4a8c2c8dcf38711eb47ef1c8d24adadea49b
