id	keyword	distribution	width	height	frames	duration_ms	bytes	sha256
happy-dumpling-dance	开心	bundled	240	240	16	1600	168737	29e4d608f07ccc13b7c98e53c73f7ed390e1b2a1caa75fc75b54bc2dbd3a72d3
happy-otter-delight	开心	bundled	240	240	16	1600	177759	6341f68c87cf40bc591df5373a161a3d2fea2f48e81d0d225ef11601a830da83
happy-baker-celebrate	开心	bundled	240	240	16	1600	175238	9643f1a89affa4ecf4fe28c93877304f2cb10d97c691faa1210d7d97391efc9f
happy-ribbon-bloom	开心	bundled	240	240	16	1600	228396	26e9a70e6398037ffd54a93a073661d3df0c9414a2f4b4f192330586fd37fa11
happy-plush-seal	开心	remote	240	240	16	1600	204428	95bf2291d08b38e065410540c81b080e9f89c4a2040314a48748af47e4743c47
happy-ink-duck	开心	remote	240	240	16	1600	156066	5ec3a818c00a264d5573a9606bfd464f9fe6e299719873207c463ddcd5cfcd32
happy-person-grin	开心	remote	240	240	16	1600	155736	2b95f9fb6dafa9f4c42611a8247a021cfb0591310dcab0aa221d1a162041236c
happy-popcorn-cheer	开心	remote	240	240	16	1600	147301	e0b54ca788de6c91a596c19bd1fcc447f7eb76eabe5a07e78bc28902e0044f24
sad-dumpling-tear	难过	bundled	240	240	16	1600	176414	344cc1a3f15e605f7b2150a76143a5c98c40ad7d6dd2dca7cd9c9febd011eff5
sad-rabbit-droop	难过	bundled	240	240	16	1600	182615	2ea22e35e1456d95d1d8ff7f1c85b2ab446d3f24450bbb8061701a371ecfe530
sad-student-sigh	难过	bundled	240	240	16	1600	205782	e18c945d2cce67379459c3678ef7a39542abd1c5b15a783afe0ab34c6e2f8ae1
sad-cloud-drizzle	难过	bundled	240	240	16	1600	156314	5666f2a4e187317e467a0ea8fafca6e2241ca06e751c51026f3a667566b6d5c4
sad-plush-elephant	难过	remote	240	240	16	1600	201691	4827d0f1a43b034fd936afcb60f2cf41e1b52a5c18a8612abd41d8618a1cbf9a
sad-ink-mushroom	难过	remote	240	240	16	1600	191969	62d1304ba4220d122446feaf7c428a58f4f947474bda88864e44f87c7ad21f05
sad-person-sad	难过	remote	240	240	16	1600	184956	d72857468db96b7b43ea2f0d97a9963373f71bed9ed27561f32343e2e9e098b6
